state_name,district_name,year,season,total_rainfall_mm,rainy_days,data_days,lpa_mm,departure_pct,anomaly_category,is_above_normal
Telangana,Bhadradri Kothagudem,2018,Rabi,87.74044863099999,5,131,102.21,-14.15,Below Normal,0
Telangana,Bhadradri Kothagudem,2018,Zaid,32.574140535,5,65,87.36,-62.71,Large Deficit,0
Telangana,Bhadradri Kothagudem,2019,Kharif,823.992906204,56,103,926.22,-11.04,Below Normal,0
Telangana,Bhadradri Kothagudem,2019,Rabi,147.355629863,16,127,102.21,44.17,Large Excess,1
Telangana,Bhadradri Kothagudem,2019,Zaid,43.280155821,5,77,87.36,-50.46,Large Deficit,0
Telangana,Bhadradri Kothagudem,2020,Kharif,566.669980994,34,122,926.22,-38.82,Large Deficit,0
Telangana,Bhadradri Kothagudem,2020,Rabi,23.773933216,3,141,102.21,-76.74,Large Deficit,0
Telangana,Bhadradri Kothagudem,2020,Zaid,72.148567222,8,92,87.36,-17.41,Below Normal,0
Telangana,Bhadradri Kothagudem,2021,Kharif,970.546471928,56,97,926.22,4.79,Normal,0
Telangana,Bhadradri Kothagudem,2021,Rabi,155.304981517,14,126,102.21,51.95,Large Excess,1
Telangana,Bhadradri Kothagudem,2021,Zaid,122.330651747,13,76,87.36,40.03,Large Excess,1
Telangana,Bhadradri Kothagudem,2022,Kharif,1135.454753424,57,99,926.22,22.59,Large Excess,1
Telangana,Bhadradri Kothagudem,2022,Rabi,111.9812331853,9,130,102.21,9.56,Above Normal,1
Telangana,Bhadradri Kothagudem,2022,Zaid,52.216945263,6,68,87.36,-40.23,Large Deficit,0
Telangana,Bhadradri Kothagudem,2023,Kharif,1031.9271562652,65,122,926.22,11.41,Above Normal,1
Telangana,Bhadradri Kothagudem,2023,Rabi,189.29932378630002,6,95,102.21,85.21,Large Excess,1
Telangana,Bhadradri Kothagudem,2023,Zaid,201.6181653104,17,92,87.36,130.79,Large Excess,1
Telangana,Hyderabad,2017,Rabi,0.0,0,59,77.6,-100.0,Large Deficit,0
Telangana,Hyderabad,2018,Kharif,519.254294882,43,122,519.17,0.02,Normal,0
Telangana,Hyderabad,2018,Rabi,98.518781916,11,141,77.6,26.96,Large Excess,1
Telangana,Hyderabad,2018,Zaid,31.259073756,4,92,75.49,-58.59,Large Deficit,0
Telangana,Hyderabad,2019,Kharif,492.081224661,40,102,519.17,-5.22,Below Normal,0
Telangana,Hyderabad,2019,Rabi,124.430350454,15,133,77.6,60.35,Large Excess,1
Telangana,Hyderabad,2019,Zaid,52.538429153,4,77,75.49,-30.4,Large Deficit,0
Telangana,Hyderabad,2020,Kharif,283.03613011699997,28,122,519.17,-45.48,Large Deficit,0
Telangana,Hyderabad,2020,Rabi,23.361644946,3,143,77.6,-69.89,Large Deficit,0
Telangana,Hyderabad,2020,Zaid,58.655430774,9,92,75.49,-22.3,Large Deficit,0
Telangana,Hyderabad,2021,Kharif,518.298287973,36,96,519.17,-0.17,Normal,0
Telangana,Hyderabad,2021,Rabi,126.282826959,8,118,77.6,62.74,Large Excess,1
Telangana,Hyderabad,2021,Zaid,62.169914306,8,72,75.49,-17.64,Below Normal,0
Telangana,Hyderabad,2022,Kharif,647.330987337,42,96,519.17,24.69,Large Excess,1
Telangana,Hyderabad,2022,Rabi,146.9615517695,11,136,77.6,89.39,Large Excess,1
Telangana,Hyderabad,2022,Zaid,70.071008208,4,64,75.49,-7.18,Below Normal,0
Telangana,Hyderabad,2023,Kharif,655.0174443513,45,122,519.17,26.17,Large Excess,1
Telangana,Hyderabad,2023,Rabi,23.6312505601,4,95,77.6,-69.55,Large Deficit,0
Telangana,Hyderabad,2023,Zaid,178.2312804829,11,92,75.49,136.11,Large Excess,1
Telangana,Jagitial,2017,Rabi,0.0,0,59,67.23,-100.0,Large Deficit,0
Telangana,Jagitial,2018,Kharif,925.522340767,48,122,859.46,7.69,Above Normal,1
Telangana,Jagitial,2018,Rabi,159.044712389,9,140,67.23,136.56,Large Excess,1
Telangana,Jagitial,2018,Zaid,24.882196427,3,92,52.96,-53.01,Large Deficit,0
Telangana,Jagitial,2019,Kharif,862.052183744,52,103,859.46,0.3,Normal,0
Telangana,Jagitial,2019,Rabi,193.875339601,19,134,67.23,188.36,Large Excess,1
Telangana,Jagitial,2019,Zaid,14.845861728,1,73,52.96,-71.97,Large Deficit,0
Telangana,Jagitial,2020,Kharif,302.094563354,25,108,859.46,-64.85,Large Deficit,0
Telangana,Jagitial,2020,Rabi,28.315082862,3,118,67.23,-57.89,Large Deficit,0
Telangana,Jagitial,2020,Zaid,69.422837632,6,92,52.96,31.1,Large Excess,1
Telangana,Jagitial,2021,Kharif,998.877575902,48,102,859.46,16.22,Above Normal,1
Telangana,Jagitial,2021,Rabi,73.3714556,7,114,67.23,9.13,Above Normal,1
Telangana,Jagitial,2021,Zaid,14.373105921,3,79,52.96,-72.86,Large Deficit,0
Telangana,Jagitial,2022,Kharif,938.715667057,29,47,859.46,9.22,Above Normal,1
Telangana,Jagitial,2022,Rabi,7.9824370239,1,124,67.23,-88.13,Large Deficit,0
Telangana,Jagitial,2022,Zaid,67.547292554,5,71,52.96,27.55,Large Excess,1
Telangana,Jagitial,2023,Kharif,1129.4991738945,51,122,859.46,31.42,Large Excess,1
Telangana,Jagitial,2023,Rabi,8.0456398118,0,76,67.23,-88.03,Large Deficit,0
Telangana,Jagitial,2023,Zaid,126.6648224976,8,92,52.96,139.19,Large Excess,1
Telangana,Jagtial,2022,Kharif,450.027538921,24,52,450.03,0.0,Normal,0
Telangana,Jagtial,2022,Rabi,30.256460718,3,11,30.26,0.0,Normal,0
Telangana,Jangaon,2022,Kharif,338.135612129,24,50,338.14,0.0,Normal,0
Telangana,Jangaon,2022,Rabi,22.318618224999998,1,9,22.32,0.0,Normal,0
Telangana,Jangoan,2017,Rabi,0.0,0,59,86.71,-100.0,Large Deficit,0
Telangana,Jangoan,2018,Kharif,639.892979952,41,122,608.58,5.14,Above Normal,1
Telangana,Jangoan,2018,Rabi,91.80130395799999,11,141,86.71,5.87,Above Normal,1
Telangana,Jangoan,2018,Zaid,37.672050726,4,92,67.58,-44.26,Large Deficit,0
Telangana,Jangoan,2019,Kharif,738.966202062,51,101,608.58,21.42,Large Excess,1
Telangana,Jangoan,2019,Rabi,206.53445826499998,17,129,86.71,138.18,Large Excess,1
Telangana,Jangoan,2019,Zaid,42.856767902,7,67,67.58,-36.58,Large Deficit,0
Telangana,Jangoan,2020,Kharif,316.683445679,24,99,608.58,-47.96,Large Deficit,0
Telangana,Jangoan,2020,Rabi,15.936125124,3,117,86.71,-81.62,Large Deficit,0
Telangana,Jangoan,2020,Zaid,37.958311638,7,79,67.58,-43.83,Large Deficit,0
Telangana,Jangoan,2021,Kharif,715.3772943179999,38,93,608.58,17.55,Above Normal,1
Telangana,Jangoan,2021,Rabi,186.375192117,15,119,86.71,114.93,Large Excess,1
Telangana,Jangoan,2021,Zaid,47.395322647,5,76,67.58,-29.87,Large Deficit,0
Telangana,Jangoan,2022,Kharif,533.018991984,25,45,608.58,-12.42,Below Normal,0
Telangana,Jangoan,2022,Rabi,82.3105680189,5,104,86.71,-5.08,Below Normal,0
Telangana,Jangoan,2022,Zaid,14.4372315277,1,75,67.58,-78.64,Large Deficit,0
Telangana,Jangoan,2023,Kharif,707.562294429,36,93,608.58,16.26,Above Normal,1
Telangana,Jangoan,2023,Rabi,24.0375456696,4,80,86.71,-72.28,Large Deficit,0
Telangana,Jangoan,2023,Zaid,225.1566896208,14,73,67.58,233.17,Large Excess,1
Telangana,Jayashankar Bhupalapally,2017,Rabi,0.0,0,59,84.18,-100.0,Large Deficit,0
Telangana,Jayashankar Bhupalapally,2018,Kharif,1236.91110436,63,122,964.28,28.27,Large Excess,1
Telangana,Jayashankar Bhupalapally,2018,Rabi,152.350337495,9,141,84.18,80.98,Large Excess,1
Telangana,Jayashankar Bhupalapally,2018,Zaid,26.268698938,4,92,57.83,-54.57,Large Deficit,0
Telangana,Jayashankar Bhupalapally,2019,Kharif,1036.467740558,63,103,964.28,7.49,Above Normal,1
Telangana,Jayashankar Bhupalapally,2019,Rabi,208.1720156,14,122,84.18,147.3,Large Excess,1
Telangana,Jayashankar Bhupalapally,2019,Zaid,39.95569587,6,79,57.83,-30.9,Large Deficit,0
Telangana,Jayashankar Bhupalapally,2020,Kharif,480.349719499,30,103,964.28,-50.19,Large Deficit,0
Telangana,Jayashankar Bhupalapally,2020,Rabi,41.707241104,3,119,84.18,-50.45,Large Deficit,0
Telangana,Jayashankar Bhupalapally,2020,Zaid,51.4485151,9,79,57.83,-11.03,Below Normal,0
Telangana,Jayashankar Bhupalapally,2021,Kharif,875.608343215,56,94,964.28,-9.2,Below Normal,0
Telangana,Jayashankar Bhupalapally,2021,Rabi,100.171249539,13,127,84.18,19.0,Above Normal,1
Telangana,Jayashankar Bhupalapally,2021,Zaid,77.172597562,7,75,57.83,33.46,Large Excess,1
Telangana,Jayashankar Bhupalapally,2022,Kharif,1106.102557149,57,94,964.28,14.71,Above Normal,1
Telangana,Jayashankar Bhupalapally,2022,Rabi,52.6673681702,4,117,84.18,-37.43,Large Deficit,0
Telangana,Jayashankar Bhupalapally,2022,Zaid,8.909291217,0,76,57.83,-84.59,Large Deficit,0
Telangana,Jayashankar Bhupalapally,2023,Kharif,1050.2658648203,54,93,964.28,8.92,Above Normal,1
Telangana,Jayashankar Bhupalapally,2023,Rabi,34.183453394100006,3,72,84.18,-59.39,Large Deficit,0
Telangana,Jayashankar Bhupalapally,2023,Zaid,143.1992855572,9,76,57.83,147.64,Large Excess,1
Telangana,Jogulamba Gadwal,2017,Rabi,0.0,0,59,64.62,-100.0,Large Deficit,0
Telangana,Jogulamba Gadwal,2018,Kharif,205.001608479,25,101,362.79,-43.49,Large Deficit,0
Telangana,Jogulamba Gadwal,2018,Rabi,98.324230057,10,108,64.62,52.15,Large Excess,1
Telangana,Jogulamba Gadwal,2018,Zaid,4.295473026,0,85,58.65,-92.68,Large Deficit,0
Telangana,Jogulamba Gadwal,2019,Kharif,332.842565946,32,97,362.79,-8.25,Below Normal,0
Telangana,Jogulamba Gadwal,2019,Rabi,88.210662041,7,136,64.62,36.5,Large Excess,1
Telangana,Jogulamba Gadwal,2019,Zaid,26.119286625,4,72,58.65,-55.46,Large Deficit,0
Telangana,Jogulamba Gadwal,2020,Kharif,421.27660618199997,32,122,362.79,16.12,Above Normal,1
Telangana,Jogulamba Gadwal,2020,Rabi,7.649265056,0,140,64.62,-88.16,Large Deficit,0
Telangana,Jogulamba Gadwal,2020,Zaid,36.949386024,3,92,58.65,-37.0,Large Deficit,0
Telangana,Jogulamba Gadwal,2021,Kharif,335.347637519,28,96,362.79,-7.56,Below Normal,0
Telangana,Jogulamba Gadwal,2021,Rabi,128.642113886,12,121,64.62,99.07,Large Excess,1
Telangana,Jogulamba Gadwal,2021,Zaid,64.003174529,10,76,58.65,9.14,Above Normal,1
Telangana,Jogulamba Gadwal,2022,Kharif,399.72084083,33,90,362.79,10.18,Above Normal,1
Telangana,Jogulamba Gadwal,2022,Rabi,110.2540043101,9,114,64.62,70.62,Large Excess,1
Telangana,Jogulamba Gadwal,2022,Zaid,50.909418587,3,80,58.65,-13.19,Below Normal,0
Telangana,Jogulamba Gadwal,2023,Kharif,482.5415011073,36,122,362.79,33.01,Large Excess,1
Telangana,Jogulamba Gadwal,2023,Rabi,19.2680587412,1,95,64.62,-70.18,Large Deficit,0
Telangana,Jogulamba Gadwal,2023,Zaid,169.59489635650002,10,74,58.65,189.19,Large Excess,1
Telangana,Kamareddy,2017,Rabi,0.0,0,52,74.43,-100.0,Large Deficit,0
Telangana,Kamareddy,2018,Kharif,537.165830882,34,105,818.18,-34.35,Large Deficit,0
Telangana,Kamareddy,2018,Rabi,61.684117132000004,7,127,74.43,-17.13,Below Normal,0
Telangana,Kamareddy,2018,Zaid,10.995189423,0,76,58.21,-81.11,Large Deficit,0
Telangana,Kamareddy,2019,Kharif,756.340993457,46,95,818.18,-7.56,Below Normal,0
Telangana,Kamareddy,2019,Rabi,198.415060614,17,133,74.43,166.57,Large Excess,1
Telangana,Kamareddy,2019,Zaid,8.423933186,1,75,58.21,-85.53,Large Deficit,0
Telangana,Kamareddy,2020,Kharif,438.66863739400003,34,122,818.18,-46.38,Large Deficit,0
Telangana,Kamareddy,2020,Rabi,73.402103417,6,142,74.43,-1.39,Normal,0
Telangana,Kamareddy,2020,Zaid,89.323252563,12,92,58.21,53.45,Large Excess,1
Telangana,Kamareddy,2021,Kharif,1251.452424864,56,103,818.18,52.96,Large Excess,1
Telangana,Kamareddy,2021,Rabi,49.552451193,6,121,74.43,-33.43,Large Deficit,0
Telangana,Kamareddy,2021,Zaid,34.35630711,6,66,58.21,-40.98,Large Deficit,0
Telangana,Kamareddy,2022,Kharif,781.5679441359999,43,88,818.18,-4.48,Normal,0
Telangana,Kamareddy,2022,Rabi,112.8508948298,9,137,74.43,51.61,Large Excess,1
Telangana,Kamareddy,2022,Zaid,17.8695086052,1,72,58.21,-69.3,Large Deficit,0
Telangana,Kamareddy,2023,Kharif,1143.8964403446,55,121,818.18,39.81,Large Excess,1
Telangana,Kamareddy,2023,Rabi,25.1289251474,3,79,74.43,-66.24,Large Deficit,0
Telangana,Kamareddy,2023,Zaid,188.2843869086,18,92,58.21,223.46,Large Excess,1
Telangana,Karimnagar,2017,Rabi,0.0,0,48,71.3,-100.0,Large Deficit,0
Telangana,Karimnagar,2018,Kharif,751.717151459,46,106,762.4,-1.4,Normal,0
Telangana,Karimnagar,2018,Rabi,85.118560982,6,116,71.3,19.37,Above Normal,1
Telangana,Karimnagar,2018,Zaid,21.744146384,2,74,47.79,-54.5,Large Deficit,0
Telangana,Karimnagar,2019,Kharif,809.862493912,53,102,762.4,6.23,Above Normal,1
Telangana,Karimnagar,2019,Rabi,212.955577555,16,131,71.3,198.65,Large Excess,1
Telangana,Karimnagar,2019,Zaid,9.243700014,0,77,47.79,-80.66,Large Deficit,0
Telangana,Karimnagar,2020,Kharif,354.861306475,26,97,762.4,-53.45,Large Deficit,0
Telangana,Karimnagar,2020,Rabi,21.019675979,2,118,71.3,-70.52,Large Deficit,0
Telangana,Karimnagar,2020,Zaid,48.686127399,7,92,47.79,1.88,Normal,0
Telangana,Karimnagar,2021,Kharif,920.171799328,40,90,762.4,20.69,Large Excess,1
Telangana,Karimnagar,2021,Rabi,79.467120491,7,117,71.3,11.45,Above Normal,1
Telangana,Karimnagar,2021,Zaid,33.005207502,4,74,47.79,-30.93,Large Deficit,0
Telangana,Karimnagar,2022,Kharif,808.698251779,49,95,762.4,6.07,Above Normal,1
Telangana,Karimnagar,2022,Rabi,81.3427205801,6,125,71.3,14.08,Above Normal,1
Telangana,Karimnagar,2022,Zaid,3.5695503090000003,0,75,47.79,-92.53,Large Deficit,0
Telangana,Karimnagar,2023,Kharif,929.0843873932,37,100,762.4,21.86,Large Excess,1
Telangana,Karimnagar,2023,Rabi,19.2309820082,3,75,71.3,-73.03,Large Deficit,0
Telangana,Karimnagar,2023,Zaid,170.4661011938,9,76,47.79,256.73,Large Excess,1
Telangana,Khammam,2017,Rabi,0.0,0,45,103.16,-100.0,Large Deficit,0
Telangana,Khammam,2018,Kharif,904.085389238,48,104,733.42,23.27,Large Excess,1
Telangana,Khammam,2018,Rabi,100.795643484,9,121,103.16,-2.29,Normal,0
Telangana,Khammam,2018,Zaid,15.469079605000001,1,69,63.35,-75.58,Large Deficit,0
Telangana,Khammam,2019,Kharif,727.070536316,49,96,733.42,-0.87,Normal,0
Telangana,Khammam,2019,Rabi,161.841903158,16,119,103.16,56.88,Large Excess,1
Telangana,Khammam,2019,Zaid,44.860805114,6,79,63.35,-29.19,Large Deficit,0
Telangana,Khammam,2020,Kharif,423.508937945,25,95,733.42,-42.26,Large Deficit,0
Telangana,Khammam,2020,Rabi,24.365052634,3,117,103.16,-76.38,Large Deficit,0
Telangana,Khammam,2020,Zaid,44.217105181,6,83,63.35,-30.2,Large Deficit,0
Telangana,Khammam,2021,Kharif,976.213468869,54,103,733.42,33.1,Large Excess,1
Telangana,Khammam,2021,Rabi,78.842278971,9,109,103.16,-23.57,Large Deficit,0
Telangana,Khammam,2021,Zaid,51.133958916,5,67,63.35,-19.29,Below Normal,0
Telangana,Khammam,2022,Kharif,837.332309604,45,90,733.42,14.17,Above Normal,1
Telangana,Khammam,2022,Rabi,136.9354956409,9,119,103.16,32.74,Large Excess,1
Telangana,Khammam,2022,Zaid,23.9563038848,3,77,63.35,-62.19,Large Deficit,0
Telangana,Khammam,2023,Kharif,532.3057255519,41,95,733.42,-27.42,Large Deficit,0
Telangana,Khammam,2023,Rabi,219.35759820989998,6,83,103.16,112.63,Large Excess,1
Telangana,Khammam,2023,Zaid,200.4781101156,13,78,63.35,216.45,Large Excess,1
Telangana,Kumuram Bheem,2022,Kharif,517.304353194,27,52,517.3,0.0,Normal,0
Telangana,Kumuram Bheem,2022,Rabi,35.177607573,5,9,35.18,0.0,Normal,0
Telangana,Kumuram Bheem Asifabad,2017,Rabi,0.0,0,52,59.12,-100.0,Large Deficit,0
Telangana,Kumuram Bheem Asifabad,2018,Kharif,917.473595507,46,102,866.76,5.85,Above Normal,1
Telangana,Kumuram Bheem Asifabad,2018,Rabi,137.546558002,8,121,59.12,132.67,Large Excess,1
Telangana,Kumuram Bheem Asifabad,2018,Zaid,32.626900701,5,72,44.79,-27.15,Large Deficit,0
Telangana,Kumuram Bheem Asifabad,2019,Kharif,1155.443237339,61,103,866.76,33.31,Large Excess,1
Telangana,Kumuram Bheem Asifabad,2019,Rabi,93.85633928,9,116,59.12,58.76,Large Excess,1
Telangana,Kumuram Bheem Asifabad,2019,Zaid,21.115994032,2,74,44.79,-52.85,Large Deficit,0
Telangana,Kumuram Bheem Asifabad,2020,Kharif,346.313192986,27,94,866.76,-60.05,Large Deficit,0
Telangana,Kumuram Bheem Asifabad,2020,Rabi,75.004822631,8,117,59.12,26.87,Large Excess,1
Telangana,Kumuram Bheem Asifabad,2020,Zaid,87.205268807,10,73,44.79,94.71,Large Excess,1
Telangana,Kumuram Bheem Asifabad,2021,Kharif,1125.6619996910001,69,103,866.76,29.87,Large Excess,1
Telangana,Kumuram Bheem Asifabad,2021,Rabi,72.36804143399999,12,121,59.12,22.41,Large Excess,1
Telangana,Kumuram Bheem Asifabad,2021,Zaid,27.412077376,4,75,44.79,-38.79,Large Deficit,0
Telangana,Kumuram Bheem Asifabad,2022,Kharif,935.483566396,33,46,866.76,7.93,Above Normal,1
Telangana,Kumuram Bheem Asifabad,2022,Rabi,22.8394424417,3,113,59.12,-61.37,Large Deficit,0
Telangana,Kumuram Bheem Asifabad,2022,Zaid,9.489098046999999,1,68,44.79,-78.81,Large Deficit,0
Telangana,Kumuram Bheem Asifabad,2023,Kharif,720.1919182946,39,90,866.76,-16.91,Below Normal,0
Telangana,Kumuram Bheem Asifabad,2023,Rabi,12.2066236957,2,71,59.12,-79.35,Large Deficit,0
Telangana,Kumuram Bheem Asifabad,2023,Zaid,90.8734973498,11,76,44.79,102.9,Large Excess,1
Telangana,Mahabubabad,2017,Rabi,0.0,0,49,101.86,-100.0,Large Deficit,0
Telangana,Mahabubabad,2018,Kharif,682.67651591,31,95,850.9,-19.77,Below Normal,0
Telangana,Mahabubabad,2018,Rabi,106.270330262,8,126,101.86,4.33,Normal,0
Telangana,Mahabubabad,2018,Zaid,32.139353445,4,63,66.21,-51.46,Large Deficit,0
Telangana,Mahabubabad,2019,Kharif,841.91718781,58,101,850.9,-1.06,Normal,0
Telangana,Mahabubabad,2019,Rabi,203.39099616,20,126,101.86,99.67,Large Excess,1
Telangana,Mahabubabad,2019,Zaid,40.255514254,6,81,66.21,-39.2,Large Deficit,0
Telangana,Mahabubabad,2020,Kharif,439.210025873,25,95,850.9,-48.38,Large Deficit,0
Telangana,Mahabubabad,2020,Rabi,15.857018403,1,115,101.86,-84.43,Large Deficit,0
Telangana,Mahabubabad,2020,Zaid,22.310747188,3,69,66.21,-66.31,Large Deficit,0
Telangana,Mahabubabad,2021,Kharif,1068.86168406,54,97,850.9,25.62,Large Excess,1
Telangana,Mahabubabad,2021,Rabi,152.636776309,14,123,101.86,49.85,Large Excess,1
Telangana,Mahabubabad,2021,Zaid,73.37203154299999,9,72,66.21,10.81,Above Normal,1
Telangana,Mahabubabad,2022,Kharif,1096.6340300754,52,100,850.9,28.88,Large Excess,1
Telangana,Mahabubabad,2022,Rabi,104.6290604889,8,130,101.86,2.72,Normal,0
Telangana,Mahabubabad,2022,Zaid,28.314482207,3,81,66.21,-57.24,Large Deficit,0
Telangana,Mahabubabad,2023,Kharif,976.1018622877,49,107,850.9,14.71,Above Normal,1
Telangana,Mahabubabad,2023,Rabi,130.2545353272,5,75,101.86,27.87,Large Excess,1
Telangana,Mahabubabad,2023,Zaid,200.8963818434,11,73,66.21,203.4,Large Excess,1
Telangana,Mahabubnagar,2017,Rabi,0.0,0,47,64.06,-100.0,Large Deficit,0
Telangana,Mahabubnagar,2018,Kharif,278.059975076,26,97,430.4,-35.39,Large Deficit,0
Telangana,Mahabubnagar,2018,Rabi,122.415950338,11,119,64.06,91.08,Large Excess,1
Telangana,Mahabubnagar,2018,Zaid,23.211369455,1,77,53.37,-56.51,Large Deficit,0
Telangana,Mahabubnagar,2019,Kharif,397.220049431,36,90,430.4,-7.71,Below Normal,0
Telangana,Mahabubnagar,2019,Rabi,118.514005474,10,124,64.06,84.99,Large Excess,1
Telangana,Mahabubnagar,2019,Zaid,30.460294637,4,74,53.37,-42.93,Large Deficit,0
Telangana,Mahabubnagar,2020,Kharif,317.20547717,27,104,430.4,-26.3,Large Deficit,0
Telangana,Mahabubnagar,2020,Rabi,6.263203939,0,123,64.06,-90.22,Large Deficit,0
Telangana,Mahabubnagar,2020,Zaid,37.346471862,4,72,53.37,-30.02,Large Deficit,0
Telangana,Mahabubnagar,2021,Kharif,482.07490633,43,98,430.4,12.01,Above Normal,1
Telangana,Mahabubnagar,2021,Rabi,87.20132352899999,7,125,64.06,36.11,Large Excess,1
Telangana,Mahabubnagar,2021,Zaid,76.953508902,8,76,53.37,44.19,Large Excess,1
Telangana,Mahabubnagar,2022,Kharif,640.281333192,44,93,430.4,48.77,Large Excess,1
Telangana,Mahabubnagar,2022,Rabi,96.322607793,9,119,64.06,50.35,Large Excess,1
Telangana,Mahabubnagar,2022,Zaid,48.3223944954,5,66,53.37,-9.46,Below Normal,0
Telangana,Mahabubnagar,2023,Kharif,467.5336991119,26,94,430.4,8.63,Above Normal,1
Telangana,Mahabubnagar,2023,Rabi,17.7340552818,4,85,64.06,-72.32,Large Deficit,0
Telangana,Mahabubnagar,2023,Zaid,103.92967500089999,9,75,53.37,94.73,Large Excess,1
Telangana,Mancherial,2017,Rabi,0.0,0,50,56.7,-100.0,Large Deficit,0
Telangana,Mancherial,2018,Kharif,949.813118903,52,97,883.82,7.47,Above Normal,1
Telangana,Mancherial,2018,Rabi,131.541828381,7,127,56.7,132.0,Large Excess,1
Telangana,Mancherial,2018,Zaid,12.886193904999999,1,74,42.38,-69.6,Large Deficit,0
Telangana,Mancherial,2019,Kharif,1002.306533531,57,95,883.82,13.41,Above Normal,1
Telangana,Mancherial,2019,Rabi,135.342003622,13,119,56.7,138.7,Large Excess,1
Telangana,Mancherial,2019,Zaid,13.776130458,2,72,42.38,-67.5,Large Deficit,0
Telangana,Mancherial,2020,Kharif,367.026096829,28,93,883.82,-58.47,Large Deficit,0
Telangana,Mancherial,2020,Rabi,23.017161622,4,115,56.7,-59.41,Large Deficit,0
Telangana,Mancherial,2020,Zaid,46.325397209,6,79,42.38,9.3,Above Normal,1
Telangana,Mancherial,2021,Kharif,771.809755216,55,99,883.82,-12.67,Below Normal,0
Telangana,Mancherial,2021,Rabi,52.95997733,5,119,56.7,-6.6,Below Normal,0
Telangana,Mancherial,2021,Zaid,35.760783971,6,70,42.38,-15.62,Below Normal,0
Telangana,Mancherial,2022,Kharif,1257.101050498,56,100,883.82,42.23,Large Excess,1
Telangana,Mancherial,2022,Rabi,41.970874749400004,7,121,56.7,-25.98,Large Deficit,0
Telangana,Mancherial,2022,Zaid,19.537920523,2,70,42.38,-53.9,Large Deficit,0
Telangana,Mancherial,2023,Kharif,954.8904334795,50,99,883.82,8.04,Above Normal,1
Telangana,Mancherial,2023,Rabi,12.067743942,2,77,56.7,-78.72,Large Deficit,0
Telangana,Mancherial,2023,Zaid,126.0097954971,10,73,42.38,197.31,Large Excess,1
Telangana,Medak,2017,Rabi,0.0,0,47,78.34,-100.0,Large Deficit,0
Telangana,Medak,2018,Kharif,388.95641765799996,35,98,661.72,-41.22,Large Deficit,0
Telangana,Medak,2018,Rabi,112.52520672200001,11,125,78.34,43.63,Large Excess,1
Telangana,Medak,2018,Zaid,27.949894336000003,3,75,62.11,-55.0,Large Deficit,0
Telangana,Medak,2019,Kharif,709.336956511,50,98,661.72,7.2,Above Normal,1
Telangana,Medak,2019,Rabi,187.673542383,18,127,78.34,139.56,Large Excess,1
Telangana,Medak,2019,Zaid,21.285045331,2,76,62.11,-65.73,Large Deficit,0
Telangana,Medak,2020,Kharif,344.202916551,23,94,661.72,-47.98,Large Deficit,0
Telangana,Medak,2020,Rabi,68.934004355,4,113,78.34,-12.01,Below Normal,0
Telangana,Medak,2020,Zaid,126.578801917,10,74,62.11,103.79,Large Excess,1
Telangana,Medak,2021,Kharif,933.065945757,50,103,661.72,41.01,Large Excess,1
Telangana,Medak,2021,Rabi,78.477719014,7,117,78.34,0.17,Normal,0
Telangana,Medak,2021,Zaid,34.418540693,5,75,62.11,-44.59,Large Deficit,0
